Rate,Measure,Value
0.0,C2,0.00028308058483992004
0.0,F1,0.71443896848601
0.0,F1v,0.2813054687778696
0.0,F2,0.019423314451462358
0.0,L2,0.20587499999999997
0.0,L3,0.152875
0.0,Train,0.81175
0.0,Test,0.7935
0.05,C2,0.01175563081161996
0.05,F1,0.7313179163563648
0.05,F1v,0.34501167677315403
0.05,F2,0.054385112322991855
0.05,L2,0.24074999999999996
0.05,L3,0.194875
0.05,Train,0.79325
0.05,Test,0.7505
0.1,C2,0.0493606107964207
0.1,F1,0.7587968196414943
0.1,F1v,0.3707587824948392
0.1,F2,0.03733726000352185
0.1,L2,0.242625
0.1,L3,0.209375
0.1,Train,0.803125
0.1,Test,0.6985
0.15,C2,0.0754675838914401
0.15,F1,0.7873867472260664
0.15,F1v,0.40339663471282006
0.15,F2,0.043301107259237005
0.15,L2,0.25275
0.15,L3,0.22325
0.15,Train,0.804375
0.15,Test,0.6305
0.2,C2,0.06790532633416788
0.2,F1,0.845745121851311
0.2,F1v,0.4759820922413712
0.2,F2,0.041651846168668585
0.2,L2,0.29
0.2,L3,0.25625
0.2,Train,0.8105
0.2,Test,0.5885
0.25,C2,0.08584327065097319
0.25,F1,0.9047971331172349
0.25,F1v,0.5489856457906083
0.25,F2,0.08496149856179576
0.25,L2,0.2895
0.25,L3,0.26175000000000004
0.25,Train,0.81325
0.25,Test,0.5485
0.3,C2,0.08756082066672373
0.3,F1,0.9535772563610807
0.3,F1v,0.6449217797790319
0.3,F2,0.09345594378412247
0.3,L2,0.32025000000000003
0.3,L3,0.30262500000000003
0.3,Train,0.8227499999999999
0.3,Test,0.5055
0.35,C2,0.09659994921783303
0.35,F1,0.975990881038826
0.35,F1v,0.7335152171118842
0.35,F2,0.1187098609809781
0.35,L2,0.322
0.35,L3,0.307875
0.35,Train,0.836375
0.35,Test,0.47250000000000003
0.4,C2,0.14218982073398861
0.4,F1,0.9637149566660049
0.4,F1v,0.6877887006771736
0.4,F2,0.10319010298799532
0.4,L2,0.321
0.4,L3,0.3205
0.4,Train,0.836375
0.4,Test,0.43550000000000005
