Rate,Measure,Value
0.0,C1,0.9904808846896385
0.0,C2,0.02595215923123988
0.0,F1 SD,0.1356869871065206
0.0,F1v,0.1475503570758504
0.0,Hubs,0.7380432796093102
0.0,L1,0.12594343701394478
0.0,Train,0.8757246376811594
0.0,Test,0.8768115942028987
5.0,C1,0.99471240462667
5.0,C2,0.01420294882253956
5.0,F1 SD,0.1320300625635682
5.0,F1v,0.1668478597778428
5.0,Hubs,0.7944518209045126
5.0,L1,0.12448218864642586
5.0,Train,0.8630434782608696
5.0,Test,0.8681159420289856
10.0,C1,0.9866752102297598
10.0,C2,0.03423401587306913
10.0,F1 SD,0.11909071597812396
10.0,F1v,0.19235784233136638
10.0,Hubs,0.783875565178062
10.0,L1,0.13040957842283438
10.0,Train,0.8666666666666666
10.0,Test,0.827536231884058
15.0,C1,0.9659598071988154
15.0,C2,0.0847599757334221
15.0,F1 SD,0.07822787777609001
15.0,F1v,0.2736175952172888
15.0,Hubs,0.7687099402292896
15.0,L1,0.1502143909898288
15.0,Train,0.8159420289855073
15.0,Test,0.7449275362318841
20.0,C1,0.9445884569916505
20.0,C2,0.14018439050949877
20.0,F1 SD,0.0369699965831094
20.0,F1v,0.3662371321329446
20.0,Hubs,0.7921458639856174
20.0,L1,0.16635589081047
20.0,Train,0.7797101449275362
20.0,Test,0.5927536231884057
25.0,C1,0.9016257194242885
25.0,C2,0.23189047491049458
25.0,F1 SD,0.02266430407656574
25.0,F1v,0.5098841425296872
25.0,Hubs,0.783095333203336
25.0,L1,0.22111739919388299
25.0,Train,0.7605072463768117
25.0,Test,0.5159420289855072
30.0,C1,0.8551023358064977
30.0,C2,0.3101631478802992
30.0,F1 SD,0.018560815216521483
30.0,F1v,0.5408159047250638
30.0,Hubs,0.7608666614384269
30.0,L1,0.2165786152422576
30.0,Train,0.7905797101449276
30.0,Test,0.5014492753623188
35.0,C1,0.7887946838953894
35.0,C2,0.40821788742002063
35.0,F1 SD,0.016822172397237
35.0,F1v,0.5516093354917136
35.0,Hubs,0.6558962182542218
35.0,L1,0.1718461033826228
35.0,Train,0.8192028985507246
35.0,Test,0.4811594202898551
40.0,C1,0.7720820914116413
40.0,C2,0.39265112372948713
40.0,F1 SD,0.02273567509716576
40.0,F1v,0.46317051399025216
40.0,Hubs,0.6429913569863241
40.0,L1,0.1533243173683702
40.0,Train,0.8518115942028986
40.0,Test,0.47536231884057967
