Rate,Measure,Value
0.0,C2,0.025117511506017803
0.0,F1 SD,0.24467967581134342
0.0,F1v,0.03642329383439024
0.0,F3,0.6381039197812214
0.0,F4,0.331084776663628
0.0,N4 SD,0.08248495129461027
0.0,Train,1.0
0.0,Test,1.0
0.05,C2,0.0024892712152050607
0.05,F1 SD,0.2329198732101132
0.05,F1v,0.09204027154815556
0.05,F3,0.6802187784867822
0.05,F4,0.4791248860528716
0.05,N4 SD,0.23761267858263918
0.05,Train,0.9784867821330903
0.05,Test,0.9498181818181818
0.1,C2,0.013675404579356782
0.1,F1 SD,0.227457939221864
0.1,F1v,0.1326103401843882
0.1,F3,0.6851412944393802
0.1,F4,0.5509571558796718
0.1,N4 SD,0.27127309944895284
0.1,Train,0.9797629899726527
0.1,Test,0.890909090909091
0.15,C2,0.05668224801966072
0.15,F1 SD,0.2208664761506102
0.15,F1v,0.1602183292890974
0.15,F3,0.6729261622607112
0.15,F4,0.5595259799453054
0.15,N4 SD,0.2708429240853426
0.15,Train,0.9828623518687329
0.15,Test,0.8349090909090909
0.2,C2,0.12552950809262273
0.2,F1 SD,0.20013126124208158
0.2,F1v,0.19424906187417
0.2,F3,0.7256153144940748
0.2,F4,0.6204193254329988
0.2,N4 SD,0.2842770230633802
0.2,Train,0.9866909753874202
0.2,Test,0.7825454545454545
0.25,C2,0.16346891779625167
0.25,F1 SD,0.1683536847195258
0.25,F1v,0.26486839537754203
0.25,F3,0.7701002734731086
0.25,F4,0.6530537830446672
0.25,N4 SD,0.2968580435384308
0.25,Train,0.9874202370100272
0.25,Test,0.7338181818181818
0.3,C2,0.2261434042077773
0.3,F1 SD,0.14482751302758073
0.3,F1v,0.2995469283979282
0.3,F3,0.7832269826800368
0.3,F4,0.6559708295350954
0.3,N4 SD,0.29597570226286063
0.3,Train,0.9894257064721967
0.3,Test,0.6945454545454546
0.35,C2,0.27539421588016244
0.35,F1 SD,0.09745117274371662
0.35,F1v,0.3697673739527594
0.35,F3,0.8377392889699179
0.35,F4,0.7124886052871469
0.35,N4 SD,0.29951619786634903
0.35,Train,0.9850501367365544
0.35,Test,0.64
0.4,C2,0.26996147828349726
0.4,F1 SD,0.060328261158899985
0.4,F1v,0.46331655679244604
0.4,F3,0.8337283500455788
0.4,F4,0.69024612579763
0.4,N4 SD,0.3129451374751948
0.4,Train,0.9848678213309026
0.4,Test,0.5876363636363636
