Rate,Measure,Value
0.0,C1,0.9549264511198224
0.0,C2,0.11639104858901961
0.0,F1,0.7136237850968525
0.0,F3,0.4545054945054946
0.0,F4,0.0065934065934066
0.0,N4 SD,0.05751578225461632
0.0,Train,0.9894505494505494
0.0,Test,0.968421052631579
5.0,C1,0.9197455240493506
5.0,C2,0.1963405197381048
5.0,F1,0.7923169187065916
5.0,F3,0.6901098901098901
5.0,F4,0.01626373626373626
5.0,N4 SD,0.2191554699706908
5.0,Train,0.9608791208791209
5.0,Test,0.9491228070175438
10.0,C1,0.8623164764344835
10.0,C2,0.31088719783420177
10.0,F1,0.8463764825000549
10.0,F3,0.6940659340659342
10.0,F4,0.0224175824175823
10.0,N4 SD,0.2760400189762762
10.0,Train,0.9683516483516483
10.0,Test,0.8964912280701756
15.0,C1,0.8057901657347433
15.0,C2,0.400859751124802
15.0,F1,0.862346428661928
15.0,F3,0.7191208791208792
15.0,F4,0.047472527472527476
15.0,N4 SD,0.26807966090133
15.0,Train,0.956043956043956
15.0,Test,0.8228070175438595
20.0,C1,0.7491158437657086
20.0,C2,0.471518628556385
20.0,F1,0.8810762258685824
20.0,F3,0.7573626373626376
20.0,F4,0.10769230769230764
20.0,N4 SD,0.22991250446966077
20.0,Train,0.9498901098901099
20.0,Test,0.7736842105263158
25.0,C1,0.7343919605161353
25.0,C2,0.4677775555880116
25.0,F1,0.9128776565642578
25.0,F3,0.8008791208791208
25.0,F4,0.1797802197802197
25.0,N4 SD,0.2691760057371654
25.0,Train,0.9516483516483516
25.0,Test,0.712280701754386
30.0,C1,0.7755065580260114
30.0,C2,0.3948025169858795
30.0,F1,0.9446294500759184
30.0,F3,0.8747252747252748
30.0,F4,0.3507692307692306
30.0,N4 SD,0.29970233544224756
30.0,Train,0.9415384615384615
30.0,Test,0.6684210526315789
35.0,C1,0.8689588266681667
35.0,C2,0.28137759981617805
35.0,F1,0.9624802207516222
35.0,F3,0.9270329670329669
35.0,F4,0.4035164835164834
35.0,N4 SD,0.3210238538788226
35.0,Train,0.9371428571428572
35.0,Test,0.6245614035087719
40.0,C1,0.9124290122312783
40.0,C2,0.20501550687320202
40.0,F1,0.9758668969091546
40.0,F3,0.9463736263736264
40.0,F4,0.4232967032967032
40.0,N4 SD,0.33108843056723825
40.0,Train,0.9428571428571428
40.0,Test,0.5666666666666667
