Rate,Measure,Value
0.0,C1,0.77382211122247
0.0,C2,0.4575706615040084
0.0,F1v,0.580757351195226
0.0,Hubs,0.7391924548991242
0.0,L2,0.2276740237691
0.0,L3,0.22784380305602703
0.0,Train,0.8050933786078097
0.0,Test,0.7783050847457627
5.0,C1,0.8228600362100817
5.0,C2,0.37793734297174336
5.0,F1v,0.6217877150952184
5.0,Hubs,0.7547386055802295
5.0,L2,0.2556876061120542
5.0,L3,0.2473684210526316
5.0,Train,0.8278438030560272
5.0,Test,0.766779661016949
10.0,C1,0.8996099812025123
10.0,C2,0.23833111473935142
10.0,F1v,0.571135666048072
10.0,Hubs,0.7772436050268856
10.0,L2,0.2886247877758912
10.0,L3,0.2865874363327674
10.0,Train,0.8324278438030561
10.0,Test,0.7430508474576272
15.0,C1,0.9493263925444229
15.0,C2,0.1296435213088172
15.0,F1v,0.5784850072405656
15.0,Hubs,0.7963412162826577
15.0,L2,0.3076400679117148
15.0,L3,0.296434634974533
15.0,Train,0.8365025466893039
15.0,Test,0.704406779661017
20.0,C1,0.9816968980561247
20.0,C2,0.0492606829898113
20.0,F1v,0.6003065879390292
20.0,Hubs,0.8144125257901955
20.0,L2,0.3395585738539898
20.0,L3,0.3196943972835316
20.0,Train,0.83276740237691
20.0,Test,0.6671186440677965
25.0,C1,0.9975990720616501
25.0,C2,0.006629090648830241
25.0,F1v,0.6075715786962238
25.0,Hubs,0.8181487168870932
25.0,L2,0.3365025466893038
25.0,L3,0.3086587436332768
25.0,Train,0.8332767402376909
25.0,Test,0.6440677966101694
30.0,C1,0.9986391609216427
30.0,C2,0.00376200050697012
30.0,F1v,0.6560994132015182
30.0,Hubs,0.8432164623919414
30.0,L2,0.35602716468590845
30.0,L3,0.3269949066213922
30.0,Train,0.8940577249575551
30.0,Test,0.48881355932203385
35.0,C1,0.9837766328256228
35.0,C2,0.04377442565990608
35.0,F1v,0.6510368584622096
35.0,Hubs,0.8271684073110228
35.0,L2,0.3252971137521222
35.0,L3,0.303056027164686
35.0,Train,0.8256366723259762
35.0,Test,0.3925423728813559
40.0,C1,0.9559419928981017
40.0,C2,0.11378362319973834
40.0,F1v,0.6851274825010589
40.0,Hubs,0.7862307661253506
40.0,L2,0.31799660441426136
40.0,L3,0.3108658743633276
40.0,Train,0.832597623089983
40.0,Test,0.3559322033898305
