Rate,Measure,Value
0.0,C1,0.9904808846896384
0.0,C2,0.0259521592312398
0.0,F1 SD,0.1356869871065206
0.0,F1v,0.1475503570758504
0.0,Hubs,0.7380432796093102
0.0,L1,0.1259434370139447
0.0,Train,0.8757246376811594
0.0,Test,0.8768115942028987
0.05,C1,0.99471240462667
0.05,C2,0.0142029488225395
0.05,F1 SD,0.1320300625635682
0.05,F1v,0.1668478597778428
0.05,Hubs,0.7944518209045126
0.05,L1,0.1244821886464258
0.05,Train,0.8630434782608696
0.05,Test,0.8681159420289856
0.1,C1,0.9866752102297598
0.1,C2,0.0342340158730691
0.1,F1 SD,0.1190907159781239
0.1,F1v,0.1923578423313663
0.1,Hubs,0.783875565178062
0.1,L1,0.1304095784228343
0.1,Train,0.8666666666666666
0.1,Test,0.827536231884058
0.15,C1,0.9659598071988154
0.15,C2,0.0847599757334221
0.15,F1 SD,0.07822787777609
0.15,F1v,0.2736175952172888
0.15,Hubs,0.7687099402292896
0.15,L1,0.1502143909898288
0.15,Train,0.8159420289855073
0.15,Test,0.7449275362318841
0.2,C1,0.9445884569916504
0.2,C2,0.1401843905094987
0.2,F1 SD,0.0369699965831094
0.2,F1v,0.3662371321329446
0.2,Hubs,0.7921458639856174
0.2,L1,0.16635589081047
0.2,Train,0.7797101449275362
0.2,Test,0.5927536231884057
0.25,C1,0.9016257194242884
0.25,C2,0.2318904749104945
0.25,F1 SD,0.0226643040765657
0.25,F1v,0.5098841425296872
0.25,Hubs,0.783095333203336
0.25,L1,0.2211173991938829
0.25,Train,0.7605072463768117
0.25,Test,0.5159420289855072
0.3,C1,0.8551023358064977
0.3,C2,0.3101631478802992
0.3,F1 SD,0.0185608152165214
0.3,F1v,0.5408159047250638
0.3,Hubs,0.7608666614384269
0.3,L1,0.2165786152422576
0.3,Train,0.7905797101449276
0.3,Test,0.5014492753623188
0.35,C1,0.7887946838953894
0.35,C2,0.4082178874200206
0.35,F1 SD,0.016822172397237
0.35,F1v,0.5516093354917136
0.35,Hubs,0.6558962182542218
0.35,L1,0.1718461033826228
0.35,Train,0.8192028985507246
0.35,Test,0.4811594202898551
0.4,C1,0.7720820914116413
0.4,C2,0.3926511237294871
0.4,F1 SD,0.0227356750971657
0.4,F1v,0.4631705139902521
0.4,Hubs,0.6429913569863241
0.4,L1,0.1533243173683702
0.4,Train,0.8518115942028986
0.4,Test,0.4753623188405796
