Rate,Measure,Value
0.0,C1,0.9997213450336024
0.0,C2,0.0007719269531537
0.0,F1,0.5730841545281711
0.0,F3,0.0
0.0,F4,0.0
0.0,N4 SD,0.0
0.0,Train,1.0
0.0,Test,1.0
0.05,C1,0.9925532168561352
0.05,C2,0.020341515047602
0.05,F1,0.6450130483080696
0.05,F3,0.509
0.05,F4,0.0
0.05,N4 SD,0.2337825651736428
0.05,Train,0.9635
0.05,Test,0.984
0.1,C1,0.9725384715302812
0.1,C2,0.072509975583474
0.1,F1,0.7054418463532353
0.1,F3,0.5115000000000001
0.1,F4,0.01075
0.1,N4 SD,0.2760934868066428
0.1,Train,0.964
0.1,Test,0.921
0.15,C1,0.9330398805692308
0.15,C2,0.1671559732252484
0.15,F1,0.7503608216404485
0.15,F3,0.4907499999999999
0.15,F4,0.015
0.15,N4 SD,0.259365947324177
0.15,Train,0.9835
0.15,Test,0.836
0.2,C1,0.8860236838417187
0.2,C2,0.2661301124284118
0.2,F1,0.7973349461102786
0.2,F3,0.5582499999999999
0.2,F4,0.0372499999999999
0.2,N4 SD,0.2840557372592736
0.2,Train,0.9865
0.2,Test,0.7769999999999999
0.25,C1,0.8367350966274907
0.25,C2,0.349839313439726
0.25,F1,0.8437336151544
0.25,F3,0.6054999999999999
0.25,F4,0.1129999999999999
0.25,N4 SD,0.3059708438246434
0.25,Train,0.9845
0.25,Test,0.697
0.3,C1,0.8070564971182621
0.3,C2,0.3844404272866328
0.3,F1,0.890533769199868
0.3,F3,0.68225
0.3,F4,0.2214999999999999
0.3,N4 SD,0.302900473981007
0.3,Train,0.97775
0.3,Test,0.649
0.35,C1,0.7383636310529574
0.35,C2,0.4637860569083526
0.35,F1,0.9386000897377476
0.35,F3,0.68625
0.35,F4,0.2134999999999999
0.35,N4 SD,0.3022695038260998
0.35,Train,0.98025
0.35,Test,0.591
0.4,C1,0.6967304545882022
0.4,C2,0.4873753039323574
0.4,F1,0.963544248361556
0.4,F3,0.706
0.4,F4,0.253
0.4,N4 SD,0.2879573269433705
0.4,Train,0.9865
0.4,Test,0.5479999999999999
