Rate,Measure,Value
0.0,C1,0.9985381534846096
0.0,C2,0.0040411615680598
0.0,F1v,0.6542354653694764
0.0,L2,0.3565217391304346
0.0,L3,0.3461430575035062
0.0,N1,0.5716690042075734
0.0,Train,0.7074333800841515
0.0,Test,0.6614525139664804
0.05,C1,0.9911267113972378
0.05,C2,0.0240529949820371
0.05,F1v,0.7449035425664852
0.05,L2,0.3817671809256662
0.05,L3,0.37054698457223
0.05,N1,0.5671809256661992
0.05,Train,0.6827489481065918
0.05,Test,0.6078212290502794
0.1,C1,0.9733380860872471
0.1,C2,0.0703405601437323
0.1,F1v,0.8130109722361167
0.1,L2,0.3750350631136045
0.1,L3,0.3683029453015428
0.1,N1,0.5511921458625528
0.1,Train,0.6805049088359046
0.1,Test,0.5575418994413408
0.15,C1,0.9560386924030976
0.15,C2,0.1135126104205501
0.15,F1v,0.8356861733197342
0.15,L2,0.3744740532959324
0.15,L3,0.3716690042075736
0.15,N1,0.5394109396914446
0.15,Train,0.6900420757363254
0.15,Test,0.5050279329608938
0.2,C1,0.9147661801984588
0.2,C2,0.2065576269256158
0.2,F1v,0.8245932901509612
0.2,L2,0.3279102384291726
0.2,L3,0.3304347826086958
0.2,N1,0.5110799438990182
0.2,Train,0.6934081346423563
0.2,Test,0.4905027932960893
0.25,C1,0.9013076871565998
0.25,C2,0.2275706412668764
0.25,F1v,0.7674326929547017
0.25,L2,0.31164095371669
0.25,L3,0.3054698457223002
0.25,N1,0.4849929873772792
0.25,Train,0.7203366058906031
0.25,Test,0.4770949720670391
0.3,C1,0.870170393987421
0.3,C2,0.276943330726956
0.3,F1v,0.666391488609043
0.3,L2,0.2768583450210378
0.3,L3,0.2813464235624124
0.3,N1,0.4457223001402526
0.3,Train,0.7621318373071528
0.3,Test,0.4648044692737431
0.35,C1,0.858469983602127
0.35,C2,0.2862419600950113
0.35,F1v,0.5170353722346086
0.35,L2,0.2398316970546986
0.35,L3,0.2373071528751754
0.35,N1,0.4067321178120616
0.35,Train,0.7856942496493688
0.35,Test,0.4469273743016759
0.4,C1,0.8783542506287674
0.4,C2,0.2500685115420517
0.4,F1v,0.383429194482478
0.4,L2,0.2168302945301544
0.4,L3,0.185413744740533
0.4,N1,0.374193548387097
0.4,Train,0.8120617110799438
0.4,Test,0.4189944134078212
