Data.Base,Rate,Train.Clean,Test.Clean,Train.Poison,Test.Poison
abalone_subset_std,0.0,0.81175,0.7935,0.81175,0.7935
abalone_subset_std,0.05,0.81175,0.7935,0.79325,0.7505
abalone_subset_std,0.1,0.81175,0.7935,0.803125,0.6985
abalone_subset_std,0.15,0.81175,0.7935,0.804375,0.6305
abalone_subset_std,0.2,0.81175,0.7935,0.8105,0.5885
abalone_subset_std,0.25,0.81175,0.7935,0.81325,0.5485
abalone_subset_std,0.3,0.81175,0.7935,0.8227499999999999,0.5055
abalone_subset_std,0.35,0.81175,0.7935,0.836375,0.47250000000000003
abalone_subset_std,0.4,0.81175,0.7935,0.836375,0.43550000000000005
australian_std,0.0,0.8757246376811594,0.8768115942028987,0.8757246376811594,0.8768115942028987
australian_std,0.05,0.8757246376811594,0.8768115942028987,0.8630434782608696,0.8681159420289856
australian_std,0.1,0.8757246376811594,0.8768115942028987,0.8666666666666666,0.827536231884058
australian_std,0.15,0.8757246376811594,0.8768115942028987,0.8159420289855073,0.7449275362318841
australian_std,0.2,0.8757246376811594,0.8768115942028987,0.7797101449275362,0.5927536231884057
australian_std,0.25,0.8757246376811594,0.8768115942028987,0.7605072463768117,0.5159420289855072
australian_std,0.3,0.8757246376811594,0.8768115942028987,0.7905797101449276,0.5014492753623188
australian_std,0.35,0.8757246376811594,0.8768115942028987,0.8192028985507246,0.4811594202898551
australian_std,0.4,0.8757246376811594,0.8768115942028987,0.8518115942028986,0.47536231884057967
banknote_std,0.0,1.0,1.0,1.0,1.0
banknote_std,0.05,1.0,1.0,0.9784867821330903,0.9498181818181818
banknote_std,0.1,1.0,1.0,0.9797629899726527,0.890909090909091
banknote_std,0.15,1.0,1.0,0.9828623518687329,0.8349090909090909
banknote_std,0.2,1.0,1.0,0.9866909753874202,0.7825454545454545
banknote_std,0.25,1.0,1.0,0.9874202370100272,0.7338181818181818
banknote_std,0.3,1.0,1.0,0.9894257064721967,0.6945454545454546
banknote_std,0.35,1.0,1.0,0.9850501367365544,0.64
banknote_std,0.4,1.0,1.0,0.9848678213309026,0.5876363636363636
breastcancer_std,0.0,0.9894505494505494,0.968421052631579,0.9894505494505494,0.968421052631579
breastcancer_std,0.05,0.9894505494505494,0.968421052631579,0.9608791208791209,0.9491228070175438
breastcancer_std,0.1,0.9894505494505494,0.968421052631579,0.9683516483516483,0.8964912280701756
breastcancer_std,0.15,0.9894505494505494,0.968421052631579,0.956043956043956,0.8228070175438595
breastcancer_std,0.2,0.9894505494505494,0.968421052631579,0.9498901098901099,0.7736842105263158
breastcancer_std,0.25,0.9894505494505494,0.968421052631579,0.9516483516483516,0.712280701754386
breastcancer_std,0.3,0.9894505494505494,0.968421052631579,0.9415384615384615,0.6684210526315789
breastcancer_std,0.35,0.9894505494505494,0.968421052631579,0.9371428571428572,0.6245614035087719
breastcancer_std,0.4,0.9894505494505494,0.968421052631579,0.9428571428571428,0.5666666666666667
cmc_std,0.0,0.8050933786078097,0.7783050847457627,0.8050933786078097,0.7783050847457627
cmc_std,0.05,0.8050933786078097,0.7783050847457627,0.8278438030560272,0.766779661016949
cmc_std,0.1,0.8050933786078097,0.7783050847457627,0.8324278438030561,0.7430508474576272
cmc_std,0.15,0.8050933786078097,0.7783050847457627,0.8365025466893039,0.704406779661017
cmc_std,0.2,0.8050933786078097,0.7783050847457627,0.83276740237691,0.6671186440677965
cmc_std,0.25,0.8050933786078097,0.7783050847457627,0.8332767402376909,0.6440677966101694
cmc_std,0.3,0.8050933786078097,0.7783050847457627,0.8940577249575551,0.48881355932203385
cmc_std,0.35,0.8050933786078097,0.7783050847457627,0.8256366723259762,0.3925423728813559
cmc_std,0.4,0.8050933786078097,0.7783050847457627,0.832597623089983,0.3559322033898305
htru2_subset_std,0.0,0.94725,0.9404999999999999,0.94725,0.9404999999999999
htru2_subset_std,0.05,0.94725,0.9404999999999999,0.926375,0.906
htru2_subset_std,0.1,0.94725,0.9404999999999999,0.928875,0.8480000000000001
htru2_subset_std,0.15,0.94725,0.9404999999999999,0.93075,0.7939999999999999
htru2_subset_std,0.2,0.94725,0.9404999999999999,0.9328749999999999,0.743
htru2_subset_std,0.25,0.94725,0.9404999999999999,0.92425,0.6845000000000001
htru2_subset_std,0.3,0.94725,0.9404999999999999,0.927125,0.63
htru2_subset_std,0.35,0.94725,0.9404999999999999,0.903875,0.5439999999999999
htru2_subset_std,0.4,0.94725,0.9404999999999999,0.9265000000000001,0.5175
phoneme_subset_std,0.0,0.952875,0.861,0.952875,0.861
phoneme_subset_std,0.05,0.952875,0.861,0.9496249999999999,0.8275
phoneme_subset_std,0.1,0.952875,0.861,0.9505000000000001,0.7935000000000001
phoneme_subset_std,0.15,0.952875,0.861,0.9494999999999999,0.7585
phoneme_subset_std,0.2,0.952875,0.861,0.95175,0.72
phoneme_subset_std,0.25,0.952875,0.861,0.9491250000000001,0.6845
phoneme_subset_std,0.3,0.952875,0.861,0.9422499999999999,0.6214999999999999
phoneme_subset_std,0.35,0.952875,0.861,0.9416249999999999,0.569
phoneme_subset_std,0.4,0.952875,0.861,0.9341250000000001,0.518
ringnorm_subset_std,0.0,0.985625,0.9755,0.985625,0.9755
ringnorm_subset_std,0.05,0.985625,0.9755,0.9401249999999999,0.9715
ringnorm_subset_std,0.1,0.985625,0.9755,0.91525,0.9435
ringnorm_subset_std,0.15,0.985625,0.9755,0.8706250000000001,0.8255000000000001
ringnorm_subset_std,0.2,0.985625,0.9755,0.873375,0.7140000000000001
ringnorm_subset_std,0.25,0.985625,0.9755,0.823625,0.5700000000000001
ringnorm_subset_std,0.3,0.985625,0.9755,0.82125,0.5345
ringnorm_subset_std,0.35,0.985625,0.9755,0.8631249999999999,0.5135
ringnorm_subset_std,0.4,0.985625,0.9755,0.905625,0.512
texture_subset_std,0.0,1.0,1.0,1.0,1.0
texture_subset_std,0.05,1.0,1.0,0.9635,0.984
texture_subset_std,0.1,1.0,1.0,0.9640000000000001,0.921
texture_subset_std,0.15,1.0,1.0,0.9835,0.836
texture_subset_std,0.2,1.0,1.0,0.9865,0.7769999999999999
texture_subset_std,0.25,1.0,1.0,0.9845,0.697
texture_subset_std,0.3,1.0,1.0,0.97775,0.649
texture_subset_std,0.35,1.0,1.0,0.9802500000000001,0.591
texture_subset_std,0.4,1.0,1.0,0.9865,0.5479999999999999
yeast_subset_std,0.0,0.7074333800841515,0.6614525139664804,0.7074333800841515,0.6614525139664804
yeast_subset_std,0.05,0.7074333800841515,0.6614525139664804,0.6827489481065918,0.6078212290502794
yeast_subset_std,0.1,0.7074333800841515,0.6614525139664804,0.6805049088359046,0.5575418994413408
yeast_subset_std,0.15,0.7074333800841515,0.6614525139664804,0.6900420757363254,0.5050279329608938
yeast_subset_std,0.2,0.7074333800841515,0.6614525139664804,0.6934081346423563,0.49050279329608937
yeast_subset_std,0.25,0.7074333800841515,0.6614525139664804,0.7203366058906031,0.4770949720670391
yeast_subset_std,0.3,0.7074333800841515,0.6614525139664804,0.7621318373071528,0.4648044692737431
yeast_subset_std,0.35,0.7074333800841515,0.6614525139664804,0.7856942496493688,0.44692737430167595
yeast_subset_std,0.4,0.7074333800841515,0.6614525139664804,0.8120617110799438,0.41899441340782123
