Attack,Rate,Set,Accuracy
rand_svm,0.0,Test.Poison,0.872463768115942
rand_svm,0.05,Test.Poison,0.8710144927536232
rand_svm,0.1,Test.Poison,0.8652173913043478
rand_svm,0.15,Test.Poison,0.8753623188405797
rand_svm,0.2,Test.Poison,0.872463768115942
rand_svm,0.25,Test.Poison,0.8782608695652174
rand_svm,0.3,Test.Poison,0.8434782608695652
rand_svm,0.35,Test.Poison,0.7985507246376812
rand_svm,0.4,Test.Poison,0.7971014492753623
rand_svm,0.0,Train.Poison,0.8840579710144928
rand_svm,0.05,Train.Poison,0.8416666666666666
rand_svm,0.1,Train.Poison,0.8101449275362318
rand_svm,0.15,Train.Poison,0.7684782608695653
rand_svm,0.2,Train.Poison,0.7521739130434782
rand_svm,0.25,Train.Poison,0.7090579710144927
rand_svm,0.3,Train.Poison,0.6728260869565217
rand_svm,0.35,Train.Poison,0.6394927536231885
rand_svm,0.4,Train.Poison,0.6307971014492754
alfa_svm,0.0,Test.Poison,0.8768115942028987
alfa_svm,0.05,Test.Poison,0.8681159420289856
alfa_svm,0.1,Test.Poison,0.827536231884058
alfa_svm,0.15,Test.Poison,0.7449275362318841
alfa_svm,0.2,Test.Poison,0.5927536231884057
alfa_svm,0.25,Test.Poison,0.5159420289855072
alfa_svm,0.3,Test.Poison,0.5014492753623188
alfa_svm,0.35,Test.Poison,0.4811594202898551
alfa_svm,0.4,Test.Poison,0.4753623188405796
alfa_svm,0.0,Train.Poison,0.8757246376811594
alfa_svm,0.05,Train.Poison,0.8630434782608696
alfa_svm,0.1,Train.Poison,0.8666666666666666
alfa_svm,0.15,Train.Poison,0.8159420289855073
alfa_svm,0.2,Train.Poison,0.7797101449275362
alfa_svm,0.25,Train.Poison,0.7605072463768117
alfa_svm,0.3,Train.Poison,0.7905797101449276
alfa_svm,0.35,Train.Poison,0.8192028985507246
alfa_svm,0.4,Train.Poison,0.8518115942028986
poison_svm,0.0,Test.Poison,0.8347826086956521
poison_svm,0.05,Test.Poison,0.8101449275362318
poison_svm,0.1,Test.Poison,0.7898550724637682
poison_svm,0.15,Test.Poison,0.7463768115942029
poison_svm,0.2,Test.Poison,0.7608695652173914
poison_svm,0.25,Test.Poison,0.7434782608695653
poison_svm,0.3,Test.Poison,0.7072463768115942
poison_svm,0.0,Train.Poison,0.9561594202898552
poison_svm,0.05,Train.Poison,0.9497364893268884
poison_svm,0.1,Train.Poison,0.94362510019448
poison_svm,0.15,Train.Poison,0.934496903251514
poison_svm,0.2,Train.Poison,0.9197748451667266
poison_svm,0.25,Train.Poison,0.9156562342274644
poison_svm,0.3,Train.Poison,0.9125316175382824
falfa_nn,0.0,Test.Poison,0.8797101449275363
falfa_nn,0.05,Test.Poison,0.8507246376811594
falfa_nn,0.1,Test.Poison,0.7971014492753623
falfa_nn,0.15,Test.Poison,0.7565217391304347
falfa_nn,0.2,Test.Poison,0.6797101449275362
falfa_nn,0.25,Test.Poison,0.6478260869565217
falfa_nn,0.3,Test.Poison,0.563768115942029
falfa_nn,0.35,Test.Poison,0.5826086956521739
falfa_nn,0.4,Test.Poison,0.4985507246376811
falfa_nn,0.0,Train.Poison,0.8797101449275363
falfa_nn,0.05,Train.Poison,0.8471014492753624
falfa_nn,0.1,Train.Poison,0.8365942028985508
falfa_nn,0.15,Train.Poison,0.8362318840579711
falfa_nn,0.2,Train.Poison,0.8485507246376812
falfa_nn,0.25,Train.Poison,0.8579710144927537
falfa_nn,0.3,Train.Poison,0.8416666666666668
falfa_nn,0.35,Train.Poison,0.9043478260869564
falfa_nn,0.4,Train.Poison,0.898913043478261
