Attack,Rate,Set,Accuracy
rand_svm,0.0,Test.Poison,1.0
rand_svm,0.05,Test.Poison,0.998
rand_svm,0.1,Test.Poison,0.995
rand_svm,0.15,Test.Poison,0.989
rand_svm,0.2,Test.Poison,0.979
rand_svm,0.25,Test.Poison,0.97
rand_svm,0.3,Test.Poison,0.955
rand_svm,0.35,Test.Poison,0.934
rand_svm,0.4,Test.Poison,0.884
rand_svm,0.0,Train.Poison,1.0
rand_svm,0.05,Train.Poison,0.957
rand_svm,0.1,Train.Poison,0.9135
rand_svm,0.15,Train.Poison,0.8714999999999999
rand_svm,0.2,Train.Poison,0.82925
rand_svm,0.25,Train.Poison,0.787
rand_svm,0.3,Train.Poison,0.7545
rand_svm,0.35,Train.Poison,0.726
rand_svm,0.4,Train.Poison,0.71475
alfa_svm,0.0,Test.Poison,1.0
alfa_svm,0.05,Test.Poison,0.984
alfa_svm,0.1,Test.Poison,0.921
alfa_svm,0.15,Test.Poison,0.836
alfa_svm,0.2,Test.Poison,0.7769999999999999
alfa_svm,0.25,Test.Poison,0.697
alfa_svm,0.3,Test.Poison,0.649
alfa_svm,0.35,Test.Poison,0.591
alfa_svm,0.4,Test.Poison,0.5479999999999999
alfa_svm,0.0,Train.Poison,1.0
alfa_svm,0.05,Train.Poison,0.9635
alfa_svm,0.1,Train.Poison,0.964
alfa_svm,0.15,Train.Poison,0.9835
alfa_svm,0.2,Train.Poison,0.9865
alfa_svm,0.25,Train.Poison,0.9845
alfa_svm,0.3,Train.Poison,0.97775
alfa_svm,0.35,Train.Poison,0.98025
alfa_svm,0.4,Train.Poison,0.9865
poison_svm,0.0,Test.Poison,0.99
poison_svm,0.05,Test.Poison,0.986
poison_svm,0.1,Test.Poison,0.978
poison_svm,0.15,Test.Poison,0.971
poison_svm,0.2,Test.Poison,0.972
poison_svm,0.25,Test.Poison,0.969
poison_svm,0.3,Test.Poison,0.96
poison_svm,0.0,Train.Poison,1.0
poison_svm,0.05,Train.Poison,0.9945292490171104
poison_svm,0.1,Train.Poison,0.9921626327617424
poison_svm,0.15,Train.Poison,0.9850495262760092
poison_svm,0.2,Train.Poison,0.9827635267006696
poison_svm,0.25,Train.Poison,0.983165244731107
poison_svm,0.3,Train.Poison,0.974759375432253
falfa_nn,0.0,Test.Poison,0.998
falfa_nn,0.05,Test.Poison,0.949
falfa_nn,0.1,Test.Poison,0.949
falfa_nn,0.15,Test.Poison,0.867
falfa_nn,0.2,Test.Poison,0.753
falfa_nn,0.25,Test.Poison,0.754
falfa_nn,0.3,Test.Poison,0.651
falfa_nn,0.35,Test.Poison,0.663
falfa_nn,0.4,Test.Poison,0.5589999999999999
falfa_nn,0.0,Train.Poison,1.0
falfa_nn,0.05,Train.Poison,0.9795
falfa_nn,0.1,Train.Poison,0.928
falfa_nn,0.15,Train.Poison,0.959
falfa_nn,0.2,Train.Poison,0.9435
falfa_nn,0.25,Train.Poison,0.96775
falfa_nn,0.3,Train.Poison,0.9515
falfa_nn,0.35,Train.Poison,0.98
falfa_nn,0.4,Train.Poison,0.98125
