Attack,Rate,Set,Accuracy
rand_svm,0.0,Test.Poison,0.6547486033519554
rand_svm,0.05,Test.Poison,0.6547486033519553
rand_svm,0.1,Test.Poison,0.6569832402234637
rand_svm,0.15,Test.Poison,0.6513966480446928
rand_svm,0.2,Test.Poison,0.635754189944134
rand_svm,0.25,Test.Poison,0.6391061452513966
rand_svm,0.3,Test.Poison,0.6223463687150839
rand_svm,0.35,Test.Poison,0.5743016759776536
rand_svm,0.4,Test.Poison,0.5184357541899441
rand_svm,0.0,Train.Poison,0.7169705469845722
rand_svm,0.05,Train.Poison,0.7023842917251052
rand_svm,0.1,Train.Poison,0.6908835904628331
rand_svm,0.15,Train.Poison,0.6650771388499299
rand_svm,0.2,Train.Poison,0.6690042075736325
rand_svm,0.25,Train.Poison,0.6538569424964937
rand_svm,0.3,Train.Poison,0.6476858345021037
rand_svm,0.35,Train.Poison,0.649929873772791
rand_svm,0.4,Train.Poison,0.6392706872370266
alfa_svm,0.0,Test.Poison,0.6614525139664804
alfa_svm,0.05,Test.Poison,0.6078212290502794
alfa_svm,0.1,Test.Poison,0.5575418994413408
alfa_svm,0.15,Test.Poison,0.5050279329608938
alfa_svm,0.2,Test.Poison,0.4905027932960893
alfa_svm,0.25,Test.Poison,0.4770949720670391
alfa_svm,0.3,Test.Poison,0.4648044692737431
alfa_svm,0.35,Test.Poison,0.4469273743016759
alfa_svm,0.4,Test.Poison,0.4189944134078212
alfa_svm,0.0,Train.Poison,0.7074333800841515
alfa_svm,0.05,Train.Poison,0.6827489481065918
alfa_svm,0.1,Train.Poison,0.6805049088359046
alfa_svm,0.15,Train.Poison,0.6900420757363254
alfa_svm,0.2,Train.Poison,0.6934081346423563
alfa_svm,0.25,Train.Poison,0.7203366058906031
alfa_svm,0.3,Train.Poison,0.7621318373071528
alfa_svm,0.35,Train.Poison,0.7856942496493688
alfa_svm,0.4,Train.Poison,0.8120617110799438
poison_svm,0.0,Test.Poison,0.6692737430167598
poison_svm,0.05,Test.Poison,0.6581005586592179
poison_svm,0.1,Test.Poison,0.6502793296089385
poison_svm,0.15,Test.Poison,0.6402234636871509
poison_svm,0.2,Test.Poison,0.6279329608938548
poison_svm,0.25,Test.Poison,0.6189944134078212
poison_svm,0.3,Test.Poison,0.6033519553072626
poison_svm,0.0,Train.Poison,0.7214586255259468
poison_svm,0.05,Train.Poison,0.7297827243165782
poison_svm,0.1,Train.Poison,0.7207792530349001
poison_svm,0.15,Train.Poison,0.7275418295115935
poison_svm,0.2,Train.Poison,0.7234572828042473
poison_svm,0.25,Train.Poison,0.7129050384975928
poison_svm,0.3,Train.Poison,0.7068130396553564
falfa_nn,0.0,Test.Poison,0.6458100558659219
falfa_nn,0.05,Test.Poison,0.6268156424581006
falfa_nn,0.1,Test.Poison,0.6223463687150839
falfa_nn,0.15,Test.Poison,0.6212290502793296
falfa_nn,0.2,Test.Poison,0.5240223463687151
falfa_nn,0.25,Test.Poison,0.5631284916201118
falfa_nn,0.3,Test.Poison,0.5094972067039106
falfa_nn,0.35,Test.Poison,0.5363128491620112
falfa_nn,0.4,Test.Poison,0.4916201117318435
falfa_nn,0.0,Train.Poison,0.6998597475455821
falfa_nn,0.05,Train.Poison,0.7113604488078542
falfa_nn,0.1,Train.Poison,0.6460028050490884
falfa_nn,0.15,Train.Poison,0.7099579242636747
falfa_nn,0.2,Train.Poison,0.7001402524544179
falfa_nn,0.25,Train.Poison,0.7556802244039271
falfa_nn,0.3,Train.Poison,0.8182328190743338
falfa_nn,0.35,Train.Poison,0.8454417952314166
falfa_nn,0.4,Train.Poison,0.9130434782608696
