Poisoning Rate,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4
Clean,98.0,96.0,94.0,88.0,88.0,74.0,68.0,52.0,46.0
0.05,14.0,24.0,24.0,32.0,44.0,48.0,52.0,68.0,70.0
0.1,30.0,40.0,44.0,52.0,60.0,62.0,70.0,78.0,78.0
0.15,40.0,48.0,56.0,60.0,68.0,68.0,74.0,76.0,82.0
0.2,48.0,56.0,60.0,56.0,70.0,72.0,76.0,76.0,80.0
0.25,44.0,52.0,56.0,58.0,72.0,64.0,72.0,72.0,74.0
0.3,40.0,52.0,48.0,52.0,58.0,56.0,60.0,60.0,64.0
0.35,36.0,40.0,36.0,36.0,42.0,36.0,36.0,36.0,38.0
0.4,32.0,32.0,24.0,22.0,28.0,20.0,24.0,24.0,24.0
