Poisoning Rate,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4
Clean,98.0,94.0,88.0,76.0,72.0,66.0,54.0,50.0,50.0
0.05,12.0,20.0,24.0,36.0,40.0,48.0,52.0,54.0,52.0
0.1,28.0,38.0,46.0,50.0,52.0,52.0,56.0,56.0,54.0
0.15,36.0,50.0,54.0,58.0,60.0,58.0,60.0,60.0,60.0
0.2,52.0,58.0,56.0,62.0,60.0,60.0,60.0,64.0,64.0
0.25,50.0,64.0,60.0,64.0,66.0,64.0,62.0,68.0,64.0
0.3,64.0,66.0,68.0,68.0,70.0,68.0,64.0,70.0,66.0
0.35,62.0,68.0,66.0,66.0,72.0,70.0,70.0,72.0,70.0
0.4,66.0,66.0,74.0,74.0,74.0,70.0,74.0,76.0,68.0
