Rate,Measure,Value
0.0,C1,0.9999093776055835
0.0,C2,0.0002511982445910128
0.0,F1,0.5988546741773204
0.0,F1v,0.08318296009265805
0.0,F3,0.594125
0.0,F4,0.527875
0.0,Train,0.94725
0.0,Test,0.9404999999999999
5.0,C1,0.9921038829619787
5.0,C2,0.021606646575166998
5.0,F1,0.6969584925407537
5.0,F1v,0.1788126254526206
5.0,F3,0.792875
5.0,F4,0.71275
5.0,Train,0.926375
5.0,Test,0.906
10.0,C1,0.9704550920922896
10.0,C2,0.07815143920740733
10.0,F1,0.769286862624679
10.0,F1v,0.23738711010172278
10.0,F3,0.8266249999999999
10.0,F4,0.7344999999999999
10.0,Train,0.928875
10.0,Test,0.8480000000000001
15.0,C1,0.9324174502655443
15.0,C2,0.168797281644194
15.0,F1,0.8230649494346676
15.0,F1v,0.3066766674764706
15.0,F3,0.833
15.0,F4,0.768625
15.0,Train,0.93075
15.0,Test,0.7939999999999999
20.0,C1,0.884143766915288
20.0,C2,0.2700832163254154
20.0,F1,0.8676695291105672
20.0,F1v,0.3728514536875388
20.0,F3,0.84175
20.0,F4,0.78325
20.0,Train,0.9328749999999999
20.0,Test,0.743
25.0,C1,0.8329042862443676
25.0,C2,0.36083927136010263
25.0,F1,0.8961038892456283
25.0,F1v,0.39722449605454135
25.0,F3,0.8376250000000001
25.0,F4,0.792625
25.0,Train,0.92425
25.0,Test,0.6845000000000001
30.0,C1,0.7681664486985985
30.0,C2,0.4525562440437768
30.0,F1,0.9221240360396322
30.0,F1v,0.4299066100291452
30.0,F3,0.8412499999999999
30.0,F4,0.7877500000000001
30.0,Train,0.927125
30.0,Test,0.63
35.0,C1,0.6869648736162856
35.0,C2,0.5428289489782298
35.0,F1,0.9410397066184848
35.0,F1v,0.44403249149229806
35.0,F3,0.845125
35.0,F4,0.78525
35.0,Train,0.903875
35.0,Test,0.5439999999999999
40.0,C1,0.5924958915690736
40.0,C2,0.623003258172396
40.0,F1,0.9527377378800779
40.0,F1v,0.44507029862600855
40.0,F3,0.78175
40.0,F4,0.738
40.0,Train,0.9265000000000001
40.0,Test,0.5175
