Rate,Measure,Value
0.0,F1v,0.3651462757308852
0.0,F2,0.322977438229728
0.0,L2,0.24562499999999998
0.0,L3,0.21412499999999998
0.0,N1,0.28112499999999996
0.0,N4,0.17725
0.0,Train,0.952875
0.0,Test,0.861
0.05,F1v,0.4178537075724176
0.05,F2,0.3308177008148636
0.05,L2,0.26349999999999996
0.05,L3,0.2355
0.05,N1,0.2995
0.05,N4,0.195875
0.05,Train,0.9496249999999999
0.05,Test,0.8275
0.1,F1v,0.4789263664010416
0.1,F2,0.36590184865184
0.1,L2,0.29137500000000005
0.1,L3,0.254875
0.1,N1,0.32649999999999996
0.1,N4,0.22962500000000002
0.1,Train,0.9505000000000001
0.1,Test,0.7935000000000001
0.15,F1v,0.5781505765053584
0.15,F2,0.371507793210094
0.15,L2,0.331625
0.15,L3,0.299
0.15,N1,0.355125
0.15,N4,0.25425
0.15,Train,0.9494999999999999
0.15,Test,0.7585
0.2,F1v,0.6505069510436707
0.2,F2,0.40372547213705784
0.2,L2,0.352375
0.2,L3,0.327625
0.2,N1,0.37175
0.2,N4,0.27737500000000004
0.2,Train,0.95175
0.2,Test,0.72
0.25,F1v,0.750381828290928
0.25,F2,0.43582724734066297
0.25,L2,0.38899999999999996
0.25,L3,0.372125
0.25,N1,0.4035
0.25,N4,0.293625
0.25,Train,0.9491250000000001
0.25,Test,0.6845
0.3,F1v,0.8276304439923703
0.3,F2,0.47034438893901276
0.3,L2,0.42350000000000004
0.3,L3,0.42062499999999997
0.3,N1,0.436875
0.3,N4,0.30324999999999996
0.3,Train,0.9422499999999999
0.3,Test,0.6214999999999999
0.35,F1v,0.8567486415259953
0.35,F2,0.4804992620346016
0.35,L2,0.4185
0.35,L3,0.41187500000000005
0.35,N1,0.441
0.35,N4,0.307375
0.35,Train,0.9416249999999999
0.35,Test,0.569
0.4,F1v,0.8445736504450728
0.4,F2,0.49759580595721153
0.4,L2,0.41174999999999995
0.4,L3,0.39025
0.4,N1,0.44787499999999997
0.4,N4,0.300875
0.4,Train,0.9341250000000001
0.4,Test,0.518
