Dataset/Attack,SLN,PoisSVM,ALFA,FALFA
Abalone,0.0717437387819327,0.05835117965020105,0.11475703472624073,0.08257342649696667
Australian,0.07105737682021306,0.06445385714180976,0.11456592984814987,0.10899201093412403
Banknote,0.12577120137204673,0.1748440128791096,0.08920403859573355,0.14602512021410863
Breastcancer,0.0676496984593069,0.0651315554368333,0.11723856483412654,0.11338381675148748
CMC,0.10147051612829024,0.25019212237329097,0.2504255852529583,0.2087059359867988
HTRU2,0.05507695474158668,0.06150443728494722,0.10542776951964125,0.09438179904541719
Phoneme,0.08668453545625968,0.06664381477845645,0.08460010923392458,0.09359806240280096
Ringnorm,0.19161050733246002,0.14870985520151445,0.13937331859914423,0.1344596586663403
Texture,0.0904549532357416,0.09915252510868702,0.06676705761603063,0.07270203883233159
Yeast,0.0839169036988354,0.09156721218675488,0.18558992197774132,0.12441967678272974
Mean,0.0945436386026673,0.10805505720416046,0.1267949330203691,0.11792415461131053
Mean,0.031884304208989134,0.03504475493776876,0.045285770334646626,0.027754120549573935
