Dataset/Attack,SLN,PoisSVM,ALFA,FALFA
Abalone,0.02155571617781266,0.022668959079704495,0.05455671577851462,0.009515815072085505
Australian,0.03061646234332101,0.02153016807739644,0.035252620424650126,0.03186419693741518
Banknote,0.04402109723067555,0.030622784390959296,0.043115923543983116,0.05196797545137784
Breastcancer,0.02858166877329494,0.023865188593616835,0.040603121001516876,0.012504105214591667
CMC,0.020738198349433256,0.08075222986669173,0.11103605596683151,0.055619696041810135
HTRU2,0.01265552095674214,0.01342515880858986,0.03160898104658369,0.01433540957442732
Phoneme,0.02736597481404738,0.02244087338961392,0.018949021082594667,0.032646091289026645
Ringnorm,0.06840158350894,0.05385091372409461,0.044347460412493746,0.02108135651702497
Texture,0.030095453251017337,0.04083346848443919,0.026561646419410268,0.02394507702109628
Yeast,0.03481136668460708,0.04045780496258127,0.046826157669887604,0.024061482376883832
STD,0.03942485501215342,0.06391265299447355,0.05430241284612299,0.039282062149098365
STD,0.015370146934375396,0.020034029003248587,0.025322091778977835,0.015711128045295026
