Dataset,Attack,RMSE,STD
Abalone,FALFA,0.08257342649696667,0.009515815072085505
Abalone,ALFA,0.11475703472624073,0.05455671577851462
Abalone,SLN,0.0717437387819327,0.02155571617781266
Abalone,PoisSVM,0.05835117965020105,0.022668959079704495
Australian,FALFA,0.10899201093412403,0.03186419693741518
Australian,ALFA,0.11456592984814987,0.035252620424650126
Australian,SLN,0.07105737682021306,0.03061646234332101
Australian,PoisSVM,0.06445385714180976,0.02153016807739644
Banknote,FALFA,0.14602512021410863,0.05196797545137784
Banknote,ALFA,0.08920403859573355,0.043115923543983116
Banknote,SLN,0.12577120137204673,0.04402109723067555
Banknote,PoisSVM,0.1748440128791096,0.030622784390959296
Breastcancer,FALFA,0.11338381675148748,0.012504105214591667
Breastcancer,ALFA,0.11723856483412654,0.040603121001516876
Breastcancer,SLN,0.0676496984593069,0.02858166877329494
Breastcancer,PoisSVM,0.0651315554368333,0.023865188593616835
CMC,FALFA,0.2087059359867988,0.055619696041810135
CMC,ALFA,0.2504255852529583,0.11103605596683151
CMC,SLN,0.10147051612829024,0.020738198349433256
CMC,PoisSVM,0.25019212237329097,0.08075222986669173
HTRU2,FALFA,0.09438179904541719,0.01433540957442732
HTRU2,ALFA,0.10542776951964125,0.03160898104658369
HTRU2,SLN,0.05507695474158668,0.01265552095674214
HTRU2,PoisSVM,0.06150443728494722,0.01342515880858986
Phoneme,FALFA,0.09359806240280096,0.032646091289026645
Phoneme,ALFA,0.08460010923392458,0.018949021082594667
Phoneme,SLN,0.08668453545625968,0.02736597481404738
Phoneme,PoisSVM,0.06664381477845645,0.02244087338961392
Ringnorm,FALFA,0.1344596586663403,0.02108135651702497
Ringnorm,ALFA,0.13937331859914423,0.044347460412493746
Ringnorm,SLN,0.19161050733246002,0.06840158350894
Ringnorm,PoisSVM,0.14870985520151445,0.05385091372409461
Texture,FALFA,0.07270203883233159,0.02394507702109628
Texture,ALFA,0.06676705761603063,0.026561646419410268
Texture,SLN,0.0904549532357416,0.030095453251017337
Texture,PoisSVM,0.09915252510868702,0.04083346848443919
Yeast,FALFA,0.12441967678272974,0.024061482376883832
Yeast,ALFA,0.18558992197774132,0.046826157669887604
Yeast,SLN,0.0839169036988354,0.03481136668460708
Yeast,PoisSVM,0.09156721218675488,0.04045780496258127
