Rate,Measure,Value
0.0,C1,0.9999201982128778
0.0,C2,0.0002212048070592118
0.0,F1v,0.37136344408979677
0.0,L2,0.227875
0.0,N1,0.568
0.0,N3,0.32975
0.0,Train,0.985625
0.0,Test,0.9755
0.05,C1,0.9941341735181662
0.05,C2,0.01610914059775482
0.05,F1v,0.4805896872510682
0.05,L2,0.2725
0.05,N1,0.59275
0.05,N3,0.359125
0.05,Train,0.9401249999999999
0.05,Test,0.9715
0.1,C1,0.9737849375285272
0.1,C2,0.06971750435389532
0.1,F1v,0.5418211601368422
0.1,L2,0.296625
0.1,N1,0.582625
0.1,N3,0.361375
0.1,Train,0.91525
0.1,Test,0.9435
0.15,C1,0.9384381439674652
0.15,C2,0.1551759961268048
0.15,F1v,0.5773134713547299
0.15,L2,0.298375
0.15,N1,0.5665
0.15,N3,0.36524999999999996
0.15,Train,0.8706250000000001
0.15,Test,0.8255000000000001
0.2,C1,0.8872997179280604
0.2,C2,0.2640542955783236
0.2,F1v,0.5863986889401905
0.2,L2,0.28325
0.2,N1,0.53675
0.2,N3,0.36062500000000003
0.2,Train,0.873375
0.2,Test,0.7140000000000001
0.25,C1,0.8187009280404972
0.25,C2,0.38787018161363324
0.25,F1v,0.6149328082942683
0.25,L2,0.24387499999999998
0.25,N1,0.497375
0.25,N3,0.342625
0.25,Train,0.823625
0.25,Test,0.5700000000000001
0.3,C1,0.7313044449880094
0.3,C2,0.5170791052487216
0.3,F1v,0.7197432583801519
0.3,L2,0.20475
0.3,N1,0.44337499999999996
0.3,N3,0.30324999999999996
0.3,Train,0.82125
0.3,Test,0.5345
0.35,C1,0.6165670873341773
0.35,C2,0.6507507152434794
0.35,F1v,0.7773885741469572
0.35,L2,0.15275
0.35,N1,0.347375
0.35,N3,0.22912500000000002
0.35,Train,0.8631249999999999
0.35,Test,0.5135
0.4,C1,0.4774943277286782
0.4,C2,0.7738982978045328
0.4,F1v,0.7561457234228168
0.4,L2,0.10274999999999998
0.4,N1,0.24712499999999998
0.4,N3,0.163375
0.4,Train,0.905625
0.4,Test,0.512
