,X
F1,-0.40559030893271963
F1 SD,0.4490027326547234
F1v,-0.4892151331196415
F2,0.23656123473526053
F3,-0.18243281698156186
F4,-0.015035887584352113
N1,-0.5543876311329718
N2,-0.3630286395952639
N2 SD,0.3197410637111783
N3,-0.5614079290417929
N3 SD,-0.49769099293570346
N4,0.2540033704357349
N4 SD,0.2854076695656815
T1,0.17047983341471246
T1 SD,0.23902489627956697
LSC,-0.29387635147613583
L1,-0.29452267538284843
L2,-0.4895949266210697
L3,-0.5153403120757044
T2,-0.2969901810605784
T3,-0.4026494122116726
T4,-0.32211112054448104
C1,-0.14384008195458908
C2,0.1560656752765242
Density,-0.30820828276871076
ClsCoef,-0.46674192994122665
Hubs,-0.1219651678773806
Hubs SD,0.27867626629692716
X,1.0
