Rate,Measure,Value
0.0,C1,0.9997213450336023
0.0,C2,0.0007719269531537441
0.0,F1,0.5730841545281711
0.0,F3,0.0
0.0,F4,0.0
0.0,N4 SD,0.0
0.0,Train,1.0
0.0,Test,1.0
5.0,C1,0.9925532168561351
5.0,C2,0.020341515047602017
5.0,F1,0.6450130483080696
5.0,F3,0.509
5.0,F4,0.0
5.0,N4 SD,0.2337825651736428
5.0,Train,0.9635
5.0,Test,0.984
10.0,C1,0.9725384715302813
10.0,C2,0.07250997558347404
10.0,F1,0.7054418463532353
10.0,F3,0.5115000000000001
10.0,F4,0.01075
10.0,N4 SD,0.2760934868066428
10.0,Train,0.9640000000000001
10.0,Test,0.921
15.0,C1,0.9330398805692308
15.0,C2,0.1671559732252484
15.0,F1,0.7503608216404485
15.0,F3,0.49074999999999996
15.0,F4,0.015
15.0,N4 SD,0.259365947324177
15.0,Train,0.9835
15.0,Test,0.836
20.0,C1,0.8860236838417187
20.0,C2,0.2661301124284118
20.0,F1,0.7973349461102786
20.0,F3,0.5582499999999999
20.0,F4,0.03724999999999999
20.0,N4 SD,0.2840557372592736
20.0,Train,0.9865
20.0,Test,0.7769999999999999
25.0,C1,0.8367350966274907
25.0,C2,0.349839313439726
25.0,F1,0.8437336151544
25.0,F3,0.6054999999999999
25.0,F4,0.11299999999999999
25.0,N4 SD,0.3059708438246434
25.0,Train,0.9845
25.0,Test,0.697
30.0,C1,0.8070564971182621
30.0,C2,0.38444042728663286
30.0,F1,0.890533769199868
30.0,F3,0.68225
30.0,F4,0.22149999999999997
30.0,N4 SD,0.302900473981007
30.0,Train,0.97775
30.0,Test,0.649
35.0,C1,0.7383636310529574
35.0,C2,0.4637860569083526
35.0,F1,0.9386000897377477
35.0,F3,0.68625
35.0,F4,0.21349999999999997
35.0,N4 SD,0.3022695038260998
35.0,Train,0.9802500000000001
35.0,Test,0.591
40.0,C1,0.6967304545882022
40.0,C2,0.48737530393235745
40.0,F1,0.9635442483615559
40.0,F3,0.706
40.0,F4,0.253
40.0,N4 SD,0.28795732694337056
40.0,Train,0.9865
40.0,Test,0.5479999999999999
