Rate,Measure,Value
0.0,C1,0.9985381534846096
0.0,C2,0.00404116156805982
0.0,F1v,0.6542354653694764
0.0,L2,0.3565217391304346
0.0,L3,0.3461430575035062
0.0,N1,0.5716690042075734
0.0,Train,0.7074333800841515
0.0,Test,0.6614525139664804
5.0,C1,0.9911267113972378
5.0,C2,0.024052994982037182
5.0,F1v,0.7449035425664852
5.0,L2,0.3817671809256662
5.0,L3,0.37054698457223
5.0,N1,0.5671809256661992
5.0,Train,0.6827489481065918
5.0,Test,0.6078212290502794
10.0,C1,0.9733380860872473
10.0,C2,0.07034056014373238
10.0,F1v,0.8130109722361167
10.0,L2,0.37503506311360457
10.0,L3,0.36830294530154284
10.0,N1,0.5511921458625528
10.0,Train,0.6805049088359046
10.0,Test,0.5575418994413408
15.0,C1,0.9560386924030977
15.0,C2,0.11351261042055019
15.0,F1v,0.8356861733197342
15.0,L2,0.3744740532959324
15.0,L3,0.3716690042075736
15.0,N1,0.5394109396914446
15.0,Train,0.6900420757363254
15.0,Test,0.5050279329608938
20.0,C1,0.9147661801984587
20.0,C2,0.2065576269256158
20.0,F1v,0.8245932901509612
20.0,L2,0.3279102384291726
20.0,L3,0.3304347826086958
20.0,N1,0.5110799438990182
20.0,Train,0.6934081346423563
20.0,Test,0.49050279329608937
25.0,C1,0.9013076871565998
25.0,C2,0.22757064126687646
25.0,F1v,0.7674326929547017
25.0,L2,0.31164095371669004
25.0,L3,0.3054698457223002
25.0,N1,0.48499298737727925
25.0,Train,0.7203366058906031
25.0,Test,0.4770949720670391
30.0,C1,0.870170393987421
30.0,C2,0.27694333072695604
30.0,F1v,0.666391488609043
30.0,L2,0.2768583450210378
30.0,L3,0.2813464235624124
30.0,N1,0.4457223001402526
30.0,Train,0.7621318373071528
30.0,Test,0.4648044692737431
35.0,C1,0.858469983602127
35.0,C2,0.28624196009501135
35.0,F1v,0.5170353722346086
35.0,L2,0.23983169705469862
35.0,L3,0.2373071528751754
35.0,N1,0.4067321178120616
35.0,Train,0.7856942496493688
35.0,Test,0.44692737430167595
40.0,C1,0.8783542506287674
40.0,C2,0.2500685115420517
40.0,F1v,0.38342919448247803
40.0,L2,0.2168302945301544
40.0,L3,0.18541374474053302
40.0,N1,0.374193548387097
40.0,Train,0.8120617110799438
40.0,Test,0.41899441340782123
